策略名称,策略收益,基准收益,策略收益率,回撤,sharp,上涨率,alpha,beta
美林时钟_3_0,205.90999289987576,138.01805328983144,11.339795663587449%,13.278284024081078%,0.904182577557304,0.30696014277215944,0.08162009603256289,0.16328610253409562
美林时钟_3_0_var_主观,138.15046720071427,138.01805328983144,4.9236386148075795%,2.7504256117196313%,0.5492722133902237,0.3450327186198691,0.020121737405901816,0.034546188103819236
美林时钟_3_0_var_约束,118.85181277322712,138.01805328983144,2.601790345624111%,1.3920984501004097%,-0.09810801009408576,0.30636525877453896,-0.002409646295076982,0.001331757596540301
