策略名称,策略收益,基准收益,策略收益率,回撤,sharp,上涨率,alpha,beta
美林时钟_3_1,209.57690373220913,138.01805328983144,11.632464968867652%,21.70814849404623%,0.537985674540947,0.31647828673408684,0.08236803676784595,0.26860719659168375
美林时钟_3_1_var_主观,130.72943353962972,138.01805328983144,4.065593469533413%,4.416083335758724%,0.2121249932962387,0.32540154669839383,0.011278636556473183,0.04724268489705598
美林时钟_3_1_var_约束,118.19101791686026,138.01805328983144,2.516751345615331%,1.4593042505909426%,-0.15426358559155315,0.31171921475312314,-0.00325050043136289,0.0008707930342431174
