Date,Close
2004/12/31,"1,000.00"
2005/1/4,982.794
2005/1/5,992.564
2005/1/6,983.174
2005/1/7,983.958
2005/1/10,993.879
2005/1/11,997.135
2005/1/12,996.748
2005/1/13,996.877
2005/1/14,988.306
2005/1/17,967.452
2005/1/18,974.689
2005/1/19,967.21
2005/1/20,956.245
2005/1/21,982.604
2005/1/24,998.133
2005/1/25,997.775
2005/1/26,989.928
2005/1/27,974.631
2005/1/28,969.209
2005/1/31,954.879
2005/2/1,955.951
2005/2/2,"1,006.91"
2005/2/3,993.215
2005/2/4,"1,016.86"
2005/2/16,"1,023.58"
2005/2/17,"1,020.61"
2005/2/18,"1,006.06"
2005/2/21,"1,025.63"
2005/2/22,"1,046.74"
2005/2/23,"1,043.94"
2005/2/24,"1,045.46"
2005/2/25,"1,046.76"
2005/2/28,"1,039.99"
2005/3/1,"1,035.93"
2005/3/2,"1,021.32"
2005/3/3,"1,027.71"
2005/3/4,"1,023.67"
2005/3/7,"1,029.87"
2005/3/8,"1,048.99"
2005/3/9,"1,046.54"
2005/3/10,"1,022.41"
2005/3/11,"1,027.43"
2005/3/14,"1,031.03"
2005/3/15,"1,013.52"
2005/3/16,"1,003.07"
2005/3/17,992.863
2005/3/18,978.665
2005/3/21,981.893
2005/3/22,964.024
2005/3/23,959.01
2005/3/24,964.801
2005/3/25,962.955
2005/3/28,960.696
2005/3/29,955.19
2005/3/30,937.034
2005/3/31,942.203
2005/4/1,978.145
2005/4/4,962.168
2005/4/5,955.598
2005/4/6,973.668
2005/4/7,984.733
2005/4/8,"1,003.45"
2005/4/11,995.421
2005/4/12,978.697
2005/4/13,"1,000.90"
2005/4/14,986.975
2005/4/15,974.082
2005/4/18,963.772
2005/4/19,965.886
2005/4/20,950.867
2005/4/21,943.981
2005/4/22,939.101
2005/4/25,930.07
2005/4/26,937.083
2005/4/27,926.604
2005/4/28,942.073
2005/4/29,932.395
2005/5/9,909.174
2005/5/10,913.076
2005/5/11,901.851
2005/5/12,885.82
2005/5/13,887.543
2005/5/16,875.271
2005/5/17,881.462
2005/5/18,883.196
2005/5/19,884.171
2005/5/20,882.763
2005/5/23,863.341
2005/5/24,868.456
2005/5/25,868.451
2005/5/26,857.331
2005/5/27,849.508
2005/5/30,855.612
2005/5/31,855.946
2005/6/1,837.532
2005/6/2,818.379
2005/6/3,818.033
2005/6/6,838.997
2005/6/7,837.282
2005/6/8,905.773
2005/6/9,912.604
2005/6/10,894.556
2005/6/13,892.959
2005/6/14,883.537
2005/6/15,866.834
2005/6/16,879.237
2005/6/17,880.345
2005/6/20,906.255
2005/6/21,896.166
2005/6/22,900.646
2005/6/23,893.572
2005/6/24,898.301
2005/6/27,916.043
2005/6/28,903.716
