,value,cash,portfolio
2012-04-19,1129335.5084284935,0.0,HS300收盘价
2012-04-20,1142725.3942359977,0.0,HS300收盘价
2012-04-23,1133676.9983686784,0.0,HS300收盘价
2012-04-24,1133168.0261011417,0.0,HS300收盘价
2012-04-25,1142355.6280587274,0.0,HS300收盘价
2012-04-26,1144748.232735182,0.0,HS300收盘价
2012-04-27,1142429.5812941813,0.0,HS300收盘价
2012-05-02,1167369.2224034797,0.0,HS300收盘价
2012-05-03,1170862.4252311036,0.0,HS300收盘价
2012-05-04,1181459.4888526371,0.0,HS300收盘价
2012-05-07,1182286.0250135942,0.0,HS300收盘价
2012-05-08,1178518.7601957584,0.0,HS300收盘价
2012-05-09,1156067.427949973,0.0,HS300收盘价
2012-05-10,1155936.922240348,0.0,HS300收盘价
2012-05-11,1147110.386079391,0.0,HS300收盘价
2012-05-14,1137805.328983143,0.0,HS300收盘价
2012-05-15,1138605.7640021748,0.0,HS300收盘价
2012-05-16,1120021.750951604,0.0,HS300收盘价
2012-05-17,1137113.6487221315,0.0,HS300收盘价
2012-05-18,1119730.2882001086,0.0,HS300收盘价
2012-05-21,1125494.2903752038,0.0,HS300收盘价
2012-05-22,1143025.5573681348,0.0,HS300收盘价
2012-05-23,1138388.2544861336,0.0,HS300收盘价
2012-05-24,1128987.4932028276,0.0,HS300收盘价
2012-05-25,1119347.471451876,0.0,HS300收盘价
2012-05-28,1137439.9129961936,0.0,HS300收盘价
2012-05-29,1153170.2011963022,0.0,HS300收盘价
2012-05-30,1149433.3877107124,0.0,HS300收盘价
2012-05-31,1144987.4932028276,0.0,HS300收盘价
2012-06-01,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-04,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-05,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-06,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-07,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-08,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-11,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-12,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-13,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-14,1145405.111473627,0.0,定期存款利率：3个月（月）
