Date,社会融资规模当月值,社会融资规模同比增长率(%),CPI：当月同比,PPI：全部工业品：当月同比,工业增加值：当月同比,社会消费品零售总额：当月同比,PMI,国内信贷,M2：同比,金融机构：各项存款余额同比,金融机构：各项贷款余额同比,中债国开债到期收益率:10年,中债国债到期收益率:10年
2005-04,0.06210157470342382,0.42353325054333063,0.3446161137440758,0.7658643326039387,0.5955056179775282,0.2697368421052631,0.8774509803921569,,0.2888684452621895,0.4124042123376232,0.0443039513402185,,0.5378089921007309
2005-05,0.12025583653480812,0.5221502713002524,0.3379810426540284,0.7724288840262582,0.6292134831460676,0.30921052631578955,0.6911764705882352,,0.3054277828886845,0.42976664105105794,0.0,,0.4578444299261546
2005-06,0.03383712584962215,0.46263319800986813,0.3228151658767773,0.7363238512035011,0.6404494382022473,0.31578947368421056,0.6323529411764707,,0.35280588776448946,0.4479525034880597,0.01495646309859251,,0.3760331412959555
2005-07,0.06482458732638156,0.5123033033452579,0.34177251184834123,0.7335886214442012,0.6011235955056181,0.30263157894736836,0.6029411764705883,,0.3817847286108556,0.4679343129836357,0.00788478485003174,,0.2759981842710355
2005-08,0.14807700426394224,0.6067658576458265,0.29058767772511845,0.737417943107221,0.5955056179775282,0.2894736842105263,0.6764705882352942,,0.4296228150873965,0.501748379660179,0.02288505422018238,,0.24605480683071151
2005-09,0.0,0.0,0.2545687203791469,0.6958424507658644,0.6235955056179776,0.30263157894736836,0.7990196078431372,,0.45630174793008293,0.5366749099953279,0.034919869684744045,,0.25508344716992293
2005-10,0.07054502469709123,0.48239407712330656,0.2867962085308057,0.6690371991247265,0.6011235955056181,0.30921052631578955,0.75,,0.45952161913523454,0.5337609492693223,0.03362850722709075,,0.11463859357367685
2005-11,0.07383797019462152,0.408267752631732,0.2953270142180095,0.62527352297593,0.6292134831460676,0.2828947368421053,0.75,,0.47378104875804977,0.5358036614222312,0.047602378428770534,,0.22441527588050114
2005-12,0.15402963650947776,0.564772251540179,0.31902369668246444,0.6258205689277899,0.6235955056179776,0.2894736842105263,0.7598039215686272,,0.44020239190432386,0.5511108376546304,0.022712225987497413,,0.21096454237690782
2006-01,0.05722548233208089,0.6189983110460652,0.350303317535545,0.6165207877461706,0.40449438202247195,0.4868421052631579,0.6519607843137255,0.0,0.5156393744250231,0.5222463904481764,0.038816803437304814,,0.129848641619491
2006-02,0.17828344661628742,0.5703301836672579,0.25267298578199054,0.6143326039387308,0.8258426966292137,0.08552631578947373,0.6519607843137255,0.0012371090886882734,0.4977000919963202,0.5638846956280735,0.04932083560341692,,0.09352319296786811
2006-03,0.09074597880694052,0.5522629260391115,0.24698578199052132,0.5858862144420132,0.6966292134831462,0.35526315789473684,0.8088235294117645,0.004013846265772811,0.49494020239190445,0.5583628667898008,0.08429644389833506,0.017059038771035602,0.08663262328567227
2006-04,0.10045594629965804,0.5912737169470438,0.28584834123222747,0.5519693654266958,0.6292134831460676,0.3588684210526316,0.946078431372549,0.004979325463270459,0.50229990800368,0.5694984716065014,0.11842672722270901,0.07504652112739968,0.1141812674466944
2006-05,0.10168024654873982,0.4247504880274396,0.30196208530805685,0.5826039387308534,0.702247191011236,0.4013157894736842,0.7843137254901958,0.006758237356120452,0.5082796688132475,0.5604604079453607,0.17905614627082272,0.09305882446171991,0.12540971273583978
2006-06,0.06813864144889602,0.8404284741506749,0.31428436018957345,0.6422319474835886,0.7921348314606743,0.3815789473684211,0.75,0.008665831437740076,0.4797608095676173,0.5011264636913942,0.26101129145129703,0.16591833029676284,0.15850151452158914
2006-07,0.09152699793135476,0.5432450343694203,0.2687867298578199,0.6455142231947484,0.6348314606741573,0.36842105263157887,0.6666666666666665,0.00840015818842685,0.47838086476540936,0.4927780732135583,0.3047068261847837,0.22143570358747613,0.20314519892413815
2006-08,0.08551103981086672,0.3790786907217429,0.29627488151658765,0.6356673960612692,0.5786516853932585,0.37500000000000006,0.7009803921568628,0.009858242307075353,0.45722171113155485,0.473869832918475,0.2979347173056196,0.24256860051537585,0.21835788674528916
2006-09,0.039430911470426815,0.7405378621552493,0.31428436018957345,0.638402625820569,0.6011235955056181,0.3815789473684211,0.892156862745098,0.0113429265180368,0.40616375344986194,0.4445179710012479,0.265791120082938,0.17859736369471768,0.17145512858585274
2006-10,0.07941064719044201,0.4793311002463272,0.3048056872037915,0.6083150984682714,0.5224719101123596,0.4111184210526316,0.7794117647058824,0.011477149905095137,0.4176632934682612,0.43901303987425205,0.26382622879612133,0.09056058768989346,0.10527647443131159
2006-11,0.1015535947988348,0.530783239595133,0.3493554502369668,0.6017505470459519,0.5337078651685394,0.3947368421052631,0.8088235294117645,0.01374639640765352,0.4047838086476542,0.4445421025106567,0.24986202655358178,0.0969795307039439,0.11594345786066398
2006-12,0.16637818212521635,0.46659785062507386,0.4375071090047393,0.6165207877461706,0.5224719101123596,0.4276315789473684,0.7843137254901958,0.018901542278715443,0.41122355105795777,0.4302705361475876,0.2639185782488554,0.10660794522501964,0.13116482591394218
2007-01,0.08563769156077174,0.5690065137011039,0.37684360189573457,0.6301969365426695,,0.3058092105263158,0.7990196078431372,0.02083826422208914,0.3583256669733211,0.42576550341514646,0.26777592740521616,0.1104414806361887,0.13301069074063057
2007-02,0.15377633300966775,0.4293941565587243,0.4280284360189573,0.5919037199124726,0.40449438202247195,0.5761842105263159,0.7009803921568628,0.023512299062993076,0.4498620055197793,0.3948327007344388,0.31556164687404803,0.15579886472811785,0.16456169710266946
2007-03,0.1493857390129607,0.5780995230945846,0.4820568720379147,0.5946389496717724,0.6853932584269664,0.4761842105263157,0.8480392156862745,0.02633041091072103,0.4264029438822447,0.3899631797244969,0.27879503520364846,0.2238330815465113,0.23962107263764307
2007-04,0.10127918267404061,0.45425929244816937,0.4583601895734597,0.6066739606126914,0.6741573033707865,0.4868421052631579,0.9705882352941176,0.02773654702682786,0.41812327506899727,0.3778493508025086,0.2894446543151805,0.29134636554485016,0.33041869485165976
2007-05,0.16920673787309495,0.5776393705797573,0.4924834123222749,0.600656455142232,0.7134831460674159,0.5131578947368421,0.8284313725490197,0.028651108053778324,0.40202391904323825,0.32838786001332,0.2901402542383777,0.3605920484352839,0.46847181801983717
2007-06,0.0859965381855026,0.5090412752704214,0.5844265402843601,0.5858862144420132,0.7865168539325843,0.5185986842105262,0.7696078431372548,0.03348526816504868,0.4167433302667893,0.3919651500645534,0.2951220944580006,0.498638946342391,0.6298771413298944
2007-07,0.1674969392493773,0.613368076450939,0.7038578199052132,0.5804157549234136,0.7078651685393259,0.5460526315789472,0.71078431372549,0.03404315039148846,0.4820607175712972,0.3913267546446719,0.30282619111586334,0.6259944498836162,0.6819362119142359
2007-08,0.1322244269008317,0.5606484609696689,0.789165876777251,0.5897155361050328,0.6797752808988765,0.5921052631578948,0.7450980392156862,0.036111234427344804,0.4641214351425943,0.4169169536752835,0.3178660247974005,0.581195752954419,0.6264353868679488
2007-09,0.09840840967619369,0.9217415829882668,0.7626255924170615,0.5979212253829321,0.7584269662921349,0.586217105263158,0.8480392156862745,0.03920455132165346,0.4806807727690892,0.4319311173880016,0.32264294174693064,0.6030710427864695,0.6718085169567023
2007-10,0.08542660531093005,0.4680542520152546,0.7872701421800947,0.62527352297593,0.702247191011236,0.6578947368421053,0.7058823529411765,0.039956363785561076,0.48160073597056113,0.3428562783103463,0.34396453829698553,0.6071547440743646,0.6849199184336081
2007-11,0.11092582429180563,0.47007901177225375,0.8289763033175356,0.698577680525164,0.6685393258426967,0.7039473684210527,0.8137254901960783,0.04185381753282557,0.4806807727690892,0.359682581592232,0.31842489818165726,0.6722367747080676,0.7280970481677254
2007-12,0.24977835943766624,0.53854809042225,0.7882180094786729,0.7467177242888402,0.6741573033707865,0.7960526315789472,0.8088235294117645,0.04869729689176505,0.40018399264029436,0.3962846271592092,0.281977722015475,0.7196934190550902,0.696155830271765
2008-01,0.12042470553468147,0.5329350634661033,0.8420663507109005,0.7817286652078774,,0.8618421052631579,0.696078431372549,0.05191734163458106,0.500459981600736,0.3512249191235175,0.3053378502160148,0.7379142325472826,0.651054225812199
2008-02,0.15546502300840123,0.4546153394202611,1.0,0.811816192560175,0.5617977528089888,0.7236842105263158,0.7156862745098038,0.05330831113404132,0.43192272309107643,0.44953929709008306,0.2646316397450964,0.6942185927458021,0.5740684207400365
2008-03,0.16992443112255667,0.4766394804528157,0.9588056872037913,0.8845733041575493,0.6966292134831462,0.881578947368421,0.96078431372549,0.053797639317027766,0.37672493100276,0.4554189136310378,0.22606621666885374,0.675407806657361,0.558244936746451
2008-04,0.14041457339468907,0.5254745525916968,0.9752227488151659,0.8938730853391684,0.5786516853932585,0.9144736842105263,1.0,0.05498082265763942,0.41122355105795777,0.4724028178161229,0.2235134305152939,0.644396500487364,0.5299709822754306
2008-05,0.1467049436399713,0.4299948551212937,0.9025592417061611,0.899343544857768,0.5955056179775282,0.8881578947368421,0.71078431372549,0.05543862978974823,0.4632014719411224,0.5649813537251686,0.22925107111583665,0.6787106754833738,0.5698124878032226
2008-06,0.12378097690716426,0.5393695726501485,0.8426635071090047,0.9332603938730855,0.5955056179775282,0.9802631578947368,0.6470588235294117,0.05707137575519434,0.4310027598896045,0.5256836278399298,0.19914184877968444,0.7133852792240211,0.6447076676367517
